Algorithm,Relative error average (%),Relative error std deviation (%),Relative error max (%),Relative error min (%),Runtime average (s),Runtime std deviation (s)
KMB Basic,17.14273083913084,8.775000122465237,43.75,1.449275362318847,14.450094888376634,36.00812315459322
KMB Full,7.726764449264157,6.282786276748239,23.076923076923084,0.0,14.72038957684539,37.3397681972891
Simple 11/6 Basic,8.914989835103677,5.4312348164041175,19.999999999999996,0.0,65.16128283323243,126.27979838131562
Simple 11/6 Basic w/ zeroing contraction,3.3414160358203255,3.2921813542369263,10.344827586206895,0.0,117.39246708847756,291.8476117757146
Simple 11/6 Full,4.251047696070723,4.148598901279115,15.384615384615374,0.0,66.0368966002797,126.272637882205
Simple 11/6 Full w/ zeroing contraction,2.180057575266065,2.478621780938009,9.090909090909083,0.0,116.45260324589042,285.85445329297016
Advanced 11/6 Basic,6.510266640420068,4.645007310101614,15.88785046728971,0.0,61.14947892344275,149.57844320716427
Advanced 11/6 Basic w/ zeroing contraction,3.3414160358203255,3.2921813542369263,10.344827586206895,0.0,61.26841270091922,149.1201754774759
Advanced 11/6 Full,3.5463548415991752,3.6181073134225405,15.384615384615374,0.0,61.010486968727996,147.45521669043166
Advanced 11/6 Full w/ zeroing contraction,2.180057575266065,2.478621780938009,9.090909090909083,0.0,61.01202887712523,146.6931137069952
